Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
FacesUCR,26178.17,3.519,100,85.4634,200,2050,131,0.3,0.6,10
FacesUCR,26216.26,3.316,100,86.7805,200,2050,131,0.3,0.6,10
FacesUCR,26332.21,3.423,100,86.3415,200,2050,131,0.3,0.6,10
FacesUCR,26381.94,3.518,100,87.6098,200,2050,131,0.3,0.6,10
FacesUCR,26681.16,3.364,100,86.3902,200,2050,131,0.3,0.6,10
FacesUCR,26669.78,3.55,100,85.0732,200,2050,131,0.3,0.6,10
FacesUCR,26787.21,3.585,100,86.7805,200,2050,131,0.3,0.6,10
FacesUCR,26864.38,3.319,100,84.5366,200,2050,131,0.3,0.6,10
FacesUCR,26866.05,3.4,100,85.3659,200,2050,131,0.3,0.6,10
FacesUCR,26877.21,3.484,100,84.878,200,2050,131,0.3,0.6,10
FacesUCR,26811.04,3.551,100,87.1707,200,2050,131,0.3,0.6,10
FacesUCR,27014.22,3.399,100,85.7073,200,2050,131,0.3,0.6,10
FacesUCR,26949.56,3.423,100,86.2927,200,2050,131,0.3,0.6,10
FacesUCR,27129.95,3.572,100,87.3659,200,2050,131,0.3,0.6,10
FacesUCR,27306.6,3.417,100,85.9512,200,2050,131,0.3,0.6,10
FacesUCR,27516.78,3.406,100,86.439,200,2050,131,0.3,0.6,10
FacesUCR,27646.54,3.601,100,86.0976,200,2050,131,0.3,0.6,10
FacesUCR,27679.4,3.435,100,86.2439,200,2050,131,0.3,0.6,10
FacesUCR,28013.99,3.448,100,85.9024,200,2050,131,0.3,0.6,10
FacesUCR,28026.79,3.528,100,86.2439,200,2050,131,0.3,0.6,10
FacesUCR,28105.91,3.418,100,87.3659,200,2050,131,0.3,0.6,10
FacesUCR,28568.11,3.48,100,87.0732,200,2050,131,0.3,0.6,10
FacesUCR,28685.41,3.568,100,84.2927,200,2050,131,0.3,0.6,10
FacesUCR,28798.16,3.568,100,84.6829,200,2050,131,0.3,0.6,10
FacesUCR,28964.9,3.392,100,85.2195,200,2050,131,0.3,0.6,10
FacesUCR,29121.02,3.536,100,86.0488,200,2050,131,0.3,0.6,10
FacesUCR,29195.41,3.368,100,84.5854,200,2050,131,0.3,0.6,10
FacesUCR,29144.46,3.507,100,86.2927,200,2050,131,0.3,0.6,10
FacesUCR,29469.36,3.619,100,84.7805,200,2050,131,0.3,0.6,10
FacesUCR,29544.71,3.526,100,85.122,200,2050,131,0.3,0.6,10
FacesUCR,29393.91,3.573,100,86.1463,200,2050,131,0.3,0.6,10
FacesUCR,29677.33,3.389,100,87.561,200,2050,131,0.3,0.6,10
