Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
ArrowHead,0.61,0.009,100,66.8571,36,175,251,0.9,1
ArrowHead,0.86,0.021,100,69.7143,36,175,251,0.9,1
ArrowHead,0.88,0.017,100,67.4286,36,175,251,0.9,1
ArrowHead,2.4,0.041,100,69.7143,36,175,251,0.9,1
ArrowHead,0.6,0.008,100,68.5714,36,175,251,0.9,1
ArrowHead,0.8,0.014,100,66.8571,36,175,251,0.9,1
ArrowHead,0.85,0.014,100,66.8571,36,175,251,0.9,1
ArrowHead,1.12,0.019,100,68.5714,36,175,251,0.9,1
ArrowHead,0.59,0.009,100,69.1429,36,175,251,0.9,1
ArrowHead,0.73,0.01,100,67.4286,36,175,251,0.9,1
ArrowHead,0.79,0.019,100,69.7143,36,175,251,0.9,1
ArrowHead,0.83,0.015,100,68,36,175,251,0.9,1
ArrowHead,0.92,0.013,100,66.8571,36,175,251,0.9,1
ArrowHead,0.92,0.015,100,68,36,175,251,0.9,1
ArrowHead,0.59,0.009,100,69.1429,36,175,251,0.9,1
ArrowHead,0.68,0.015,100,70.8571,36,175,251,0.9,1
ArrowHead,0.96,0.022,100,68.5714,36,175,251,0.9,1
ArrowHead,1,0.02,100,69.1429,36,175,251,0.9,1
ArrowHead,0.96,0.022,100,68.5714,36,175,251,0.9,1
ArrowHead,0.6,0.012,100,69.7143,36,175,251,0.9,1
ArrowHead,0.62,0.01,100,62.8571,36,175,251,0.9,1
ArrowHead,0.66,0.008,100,66.2857,36,175,251,0.9,1
ArrowHead,0.92,0.008,100,66.8571,36,175,251,0.9,1
ArrowHead,0.9,0.016,100,69.1429,36,175,251,0.9,1
ArrowHead,0.62,0.011,100,66.2857,36,175,251,0.9,1
ArrowHead,0.66,0.012,100,68,36,175,251,0.9,1
ArrowHead,0.89,0.026,100,67.4286,36,175,251,0.9,1
Beef,13.4,0.011,100,56.6667,30,30,470,0.025,0.2
Beef,15.72,0.009,100,63.3333,30,30,470,0.025,0.2
Beef,8.39,0.006,100,50,30,30,470,0.025,0.2
Beef,17.81,0.011,100,60,30,30,470,0.025,0.2
Beef,18.12,0.014,100,60,30,30,470,0.025,0.2
Beef,20.92,0.011,100,70,30,30,470,0.025,0.2
Beef,21.36,0.014,100,56.6667,30,30,470,0.025,0.2
Beef,16.05,0.013,100,56.6667,30,30,470,0.025,0.2
Beef,17.2,0.014,100,60,30,30,470,0.025,0.2
Beef,19.18,0.012,100,43.3333,30,30,470,0.025,0.2
Beef,22.25,0.009,100,66.6667,30,30,470,0.025,0.2
Beef,10.03,0.007,100,60,30,30,470,0.025,0.2
Beef,10.48,0.006,100,63.3333,30,30,470,0.025,0.2
Beef,11.52,0.006,100,66.6667,30,30,470,0.025,0.2
Beef,18.29,0.01,100,56.6667,30,30,470,0.025,0.2
Beef,18.73,0.01,100,66.6667,30,30,470,0.025,0.2
Beef,19.75,0.011,100,56.6667,30,30,470,0.025,0.2
Beef,40.42,0.02,100,66.6667,30,30,470,0.025,0.2
Beef,11.39,0.008,100,50,30,30,470,0.025,0.2
Beef,11.6,0.007,100,56.6667,30,30,470,0.025,0.2
Beef,12.27,0.007,100,83.3333,30,30,470,0.025,0.2
Beef,12.51,0.011,100,63.3333,30,30,470,0.025,0.2
Beef,14.13,0.011,100,56.6667,30,30,470,0.025,0.2
Beef,16.15,0.011,100,63.3333,30,30,470,0.025,0.2
Beef,17.9,0.011,100,73.3333,30,30,470,0.025,0.2
Beef,18.23,0.012,100,70,30,30,470,0.025,0.2
Beef,18.3,0.012,100,60,30,30,470,0.025,0.2
Beef,10.66,0.006,100,63.3333,30,30,470,0.025,0.2
Beef,19.93,0.011,100,56.6667,30,30,470,0.025,0.2
Beef,21.48,0.01,100,56.6667,30,30,470,0.025,0.2
Beef,22.12,0.012,100,73.3333,30,30,470,0.025,0.2
Beef,15.58,0.011,100,50,30,30,470,0.025,0.2
Beef,17.72,0.009,100,56.6667,30,30,470,0.025,0.2
Beef,11.22,0.015,100,56.6667,30,30,470,0.025,0.2
Beef,19.94,0.011,100,56.6667,30,30,470,0.025,0.2
Beef,16.34,0.01,100,46.6667,30,30,470,0.025,0.2
Beef,8.41,0.006,100,56.6667,30,30,470,0.025,0.2
Beef,13.21,0.006,100,56.6667,30,30,470,0.025,0.2
Beef,34.28,0.021,100,66.6667,30,30,470,0.025,0.2
Beef,16.01,0.011,100,60,30,30,470,0.025,0.2
