Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
Wine,955.32,0.1140,100.0000,77.7778,57,54,234,58,156,10
Wine,950.72,0.1260,100.0000,59.2593,57,54,234,58,156,10
Wine,969.97,0.1020,100.0000,62.9630,57,54,234,58,156,10
Wine,952.97,0.0790,100.0000,81.4815,57,54,234,58,156,10
synthetic_control,520.26,0.1210,100.0000,95.6667,300,300,60,15,40,10
synthetic_control,603.26,0.1200,100.0000,94.6667,300,300,60,15,40,10
synthetic_control,620.91,0.1210,100.0000,95.3333,300,300,60,15,40,10
synthetic_control,474.81,0.1230,100.0000,94.3333,300,300,60,15,40,10
synthetic_control,592.90,0.1190,100.0000,95.6667,300,300,60,15,40,10
synthetic_control,637.56,0.1200,100.0000,96.0000,300,300,60,15,40,10
synthetic_control,590.41,0.1210,100.0000,94.6667,300,300,60,15,40,10
synthetic_control,490.96,0.1210,100.0000,96.0000,300,300,60,15,40,10
synthetic_control,468.17,0.1170,100.0000,93.3333,300,300,60,15,40,10
synthetic_control,596.33,0.1200,100.0000,96.6667,300,300,60,15,40,10
MALLAT,8107.78,95.3070,100.0000,90.2345,55,2345,1024,256,682,10
MALLAT,7871.12,91.0150,100.0000,89.5522,55,2345,1024,256,682,10
MALLAT,7865.61,89.6590,100.0000,89.1684,55,2345,1024,256,682,10
MALLAT,7925.03,84.3350,100.0000,88.2303,55,2345,1024,256,682,10
MALLAT,8080.87,81.1490,100.0000,89.2111,55,2345,1024,256,682,10
MALLAT,7907.33,95.2930,100.0000,89.0405,55,2345,1024,256,682,10
MALLAT,8158.69,97.6480,100.0000,90.6183,55,2345,1024,256,682,10
MALLAT,8083.25,94.7700,100.0000,90.0213,55,2345,1024,256,682,10
MALLAT,8020.65,90.3980,100.0000,89.9360,55,2345,1024,256,682,10
MALLAT,8023.15,90.3140,100.0000,88.9126,55,2345,1024,256,682,10
Adiac,2795.70,1.3970,100.0000,64.4501,390,391,176,44,117,10
Adiac,2972.56,1.4550,100.0000,62.6598,390,391,176,44,117,10
Adiac,2912.65,1.4260,100.0000,66.4962,390,391,176,44,117,10
Adiac,2771.08,1.4290,100.0000,66.2404,390,391,176,44,117,10
Adiac,2899.93,1.3530,100.0000,66.2404,390,391,176,44,117,10
Adiac,2753.09,1.3620,100.0000,64.9616,390,391,176,44,117,10
Adiac,2954.56,1.3880,100.0000,63.6829,390,391,176,44,117,10
Adiac,2857.40,1.4230,100.0000,64.7059,390,391,176,44,117,10
Adiac,3026.87,1.4300,100.0000,63.1714,390,391,176,44,117,10
Adiac,2865.70,1.3370,100.0000,65.9847,390,391,176,44,117,10
InsectWingbeatSound,9324.06,11.6370,100.0000,57.3737,220,1980,256,64,170,10
InsectWingbeatSound,8188.30,11.9540,100.0000,55.1515,220,1980,256,64,170,10
InsectWingbeatSound,7618.74,11.6940,100.0000,56.2626,220,1980,256,64,170,10
InsectWingbeatSound,8853.00,11.3600,100.0000,55.6566,220,1980,256,64,170,10
InsectWingbeatSound,7719.69,11.7100,100.0000,56.9192,220,1980,256,64,170,10
InsectWingbeatSound,6834.66,11.6310,100.0000,58.6364,220,1980,256,64,170,10
InsectWingbeatSound,8128.29,11.8950,100.0000,57.7778,220,1980,256,64,170,10
InsectWingbeatSound,7607.76,11.5640,100.0000,58.5354,220,1980,256,64,170,10
InsectWingbeatSound,8313.03,11.6930,100.0000,56.8687,220,1980,256,64,170,10
InsectWingbeatSound,9155.37,11.5740,100.0000,56.2626,220,1980,256,64,170,10
Car,10221.80,0.5390,100.0000,80.0000,60,60,577,144,384,10
Car,10046.51,0.5640,100.0000,76.6667,60,60,577,144,384,10
Car,9975.33,0.5420,100.0000,80.0000,60,60,577,144,384,10
Car,10005.65,0.5260,100.0000,78.3333,60,60,577,144,384,10
Car,10012.32,0.5320,100.0000,78.3333,60,60,577,144,384,10
Car,10213.82,0.5410,100.0000,75.0000,60,60,577,144,384,10
Car,9889.88,0.4580,100.0000,76.6667,60,60,577,144,384,10
Car,10220.24,0.5650,100.0000,78.3333,60,60,577,144,384,10
Car,10278.36,0.5020,100.0000,76.6667,60,60,577,144,384,10
Car,10170.04,0.5380,100.0000,76.6667,60,60,577,144,384,10
DistalPhalanxOutlineAgeGroup,3338.12,0.2130,100.0000,81.0000,139,400,80,20,53,10
DistalPhalanxOutlineAgeGroup,3358.42,0.1990,100.0000,82.5000,139,400,80,20,53,10
DistalPhalanxOutlineAgeGroup,3470.11,0.1950,100.0000,83.2500,139,400,80,20,53,10
DistalPhalanxOutlineAgeGroup,3608.26,0.1790,100.0000,82.5000,139,400,80,20,53,10
DistalPhalanxOutlineAgeGroup,3791.66,0.2350,100.0000,82.0000,139,400,80,20,53,10
DistalPhalanxOutlineAgeGroup,3560.07,0.2430,100.0000,82.7500,139,400,80,20,53,10
DistalPhalanxOutlineAgeGroup,3707.57,0.2120,100.0000,82.7500,139,400,80,20,53,10
DistalPhalanxOutlineAgeGroup,3575.97,0.2020,100.0000,82.2500,139,400,80,20,53,10
DistalPhalanxOutlineAgeGroup,3515.32,0.2400,100.0000,83.5000,139,400,80,20,53,10
DistalPhalanxOutlineAgeGroup,3568.47,0.2040,100.0000,80.7500,139,400,80,20,53,10
DistalPhalanxTW,2586.54,0.2480,100.0000,73.2500,139,400,80,20,53,10
DistalPhalanxTW,2966.07,0.2380,100.0000,73.2500,139,400,80,20,53,10
DistalPhalanxTW,2221.77,0.2440,100.0000,74.5000,139,400,80,20,53,10
DistalPhalanxTW,2372.89,0.2480,100.0000,76.0000,139,400,80,20,53,10
DistalPhalanxTW,2896.14,0.2500,100.0000,72.7500,139,400,80,20,53,10
DistalPhalanxTW,2635.84,0.2400,100.0000,75.0000,139,400,80,20,53,10
DistalPhalanxTW,2423.10,0.2480,100.0000,74.2500,139,400,80,20,53,10
DistalPhalanxTW,2372.09,0.2520,100.0000,73.7500,139,400,80,20,53,10
DistalPhalanxTW,2564.13,0.2440,100.0000,74.0000,139,400,80,20,53,10
DistalPhalanxTW,2669.18,0.2490,100.0000,72.2500,139,400,80,20,53,10
Lighting7,2353.94,0.6980,100.0000,64.3836,70,73,319,79,212,10
Lighting7,2259.86,0.7020,100.0000,67.1233,70,73,319,79,212,10
Lighting7,2311.42,0.7030,100.0000,60.2740,70,73,319,79,212,10
Lighting7,2206.59,0.6730,100.0000,67.1233,70,73,319,79,212,10
Lighting7,2242.32,0.6930,100.0000,68.4932,70,73,319,79,212,10
Lighting7,2178.14,0.7130,100.0000,64.3836,70,73,319,79,212,10
Lighting7,2250.27,0.7020,100.0000,67.1233,70,73,319,79,212,10
Lighting7,2163.92,0.7120,100.0000,69.8630,70,73,319,79,212,10
